QuestionID,Section,Question,Type
16,B. Error Detection / Sentence Correction,He don’t like coffee.,descriptive
17,B. Error Detection / Sentence Correction,She is senior than me in college.,descriptive
18,B. Error Detection / Sentence Correction,Each of the boys have a book.,descriptive
19,B. Error Detection / Sentence Correction,I am knowing the answer.,descriptive
20,B. Error Detection / Sentence Correction,The furniture are old.,descriptive
21,B. Error Detection / Sentence Correction,He has completed the work yesterday.,descriptive
22,B. Error Detection / Sentence Correction,Neither he nor his friends was guilty.,descriptive
23,B. Error Detection / Sentence Correction,She prefers tea than coffee.,descriptive
24,B. Error Detection / Sentence Correction,I look forward to meet you.,descriptive
25,B. Error Detection / Sentence Correction,They discussed about the problem.,descriptive
31,D. Writing Skills,Write a short email to your professor asking for project guidance,short
32,D. Writing Skills,Draft a leave application for 2 days due to illness.,short
33,D. Writing Skills,Write a 4-line formal message inviting classmates for a seminar.,short
34,D. Writing Skills,Write a 5-line self-introduction.,short
35,D. Writing Skills,"Rewrite this sentence formally: “I can’t come, super busy rn.”",short
36,D. Writing Skills,Expand this into a professional email: “Pls send report asap.”,short
37,D. Writing Skills,Write 3 sentences using “although.”,short
38,D. Writing Skills,Write 3 sentences using “however.”,short
39,D. Writing Skills,Correct this: “He don’t has any idea.”,short
40,D. Writing Skills,Correct this: “She enjoy to play cricket.”,short
46,,"Teamwork is an essential skill in the modern workplace. Companies prefer employees who can collaborate effectively, share responsibilities, and support one another. A team player not only contributes ideas but also respects others’ opinions. Good communication within a team ensures that tasks are completed efficiently. However, teamwork is not always easy, as differences in perspective can sometimes lead to conflicts. Successful teams learn to manage disagreements respectfully and focus on the common goal.",comprehension
46a,F. Comprehension Passages,Why do companies prefer employees with teamwork skills?,comprehension
46b,F. Comprehension Passages,What are two qualities of a good team player?,comprehension
46c,F. Comprehension Passages,What ensures tasks are completed efficiently?,comprehension
46d,F. Comprehension Passages,What challenge can arise in team work?,comprehension
46e,F. Comprehension Passages,"Find a word from the passage that means ""help one another""",comprehension
47,F. Comprehension Passages,"Books have always been considered a valuable source of knowledge. Reading not only improves vocabulary but also develops imagination and critical thinking. Unlike television or social media, reading requires active engagement of the mind. Many successful people consider reading as a daily habit that helps them grow both personally and professionally. However, in recent years, the habit of reading has declined due to the popularity of smartphones and digital entertainment. Encouraging young people to read can help them gain wisdom and creativity.",comprehension
47a,F. Comprehension Passages,List two benefits of Reading books.,comprehension
47b,F. Comprehension Passages,How is reading different from television or social media?,comprehension
47c,F. Comprehension Passages,What habbit do many successful people follow?,comprehension
47d,F. Comprehension Passages,Why has the habit of reading declined?,comprehension
47e,F. Comprehension Passages,"Find a synonym of ""decreased"" in the passage",comprehension
48,F. Comprehension Passages,"In today’s world, technology plays a crucial role in communication. Video calls, emails, and messaging apps allow people to stay connected across long distances. While technology has made communication faster and more convenient, it also has drawbacks. People often become dependent on devices and may lose the ability to interact face-to-face. Excessive use of technology can reduce personal connections and lead to feelings of isolation. Thus, it is important to balance digital communication with reallife conversations.",comprehension
48a,F. Comprehension Passages,List two advantages of technology in communication,comprehension
48b,F. Comprehension Passages,What is one drawback of depending too much on devices?,comprehension
48c,F. Comprehension Passages,What negative effect can excessive technology use create?,comprehension
48d,F. Comprehension Passages,What balance should people maintain in communication?,comprehension
48e,F. Comprehension Passages,"Find a synonym of ""important"" from the passgae.",comprehension
